Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10111295,DCE,m1709,0,0.000,34,2707.000,2635.000,2623.00,28560.00,4080.00,Spec,62427.40,10,99918803,2017,09,
26/5/2017,10111296,DCE,m1709,0,0.000,6,2707.000,2635.000,2623.00,5040.00,720.00,Spec,11016.60,10,99918803,2017,09,
26/5/2017,10111297,DCE,m1709,0,0.000,19,2707.000,2635.000,2623.00,15960.00,2280.00,Spec,34885.90,10,99918803,2017,09,
26/5/2017,10111298,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10111299,DCE,m1709,0,0.000,35,2707.000,2635.000,2623.00,29400.00,4200.00,Spec,64263.50,10,99918803,2017,09,
26/5/2017,10111300,DCE,m1709,0,0.000,3,2707.000,2635.000,2623.00,2520.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10111301,DCE,m1709,0,0.000,3,2707.000,2635.000,2623.00,2520.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10111302,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111303,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111304,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111305,DCE,m1709,0,0.000,15,2707.000,2635.000,2623.00,12600.00,1800.00,Spec,27541.50,10,99918803,2017,09,
26/5/2017,10111306,DCE,m1709,0,0.000,1,2707.000,2635.000,2623.00,840.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10111307,DCE,m1709,0,0.000,5,2707.000,2635.000,2623.00,4200.00,600.00,Spec,9180.50,10,99918803,2017,09,
