Order Details,
BTGDate,Serial_No.,Exchange,Product Code,Buy_Sell,H/S,Trade_Price,Lots,Value,Open_Close,Commission,Account Code,Contract Size,
1/6/2017,00787621,CZCE,OI709,Sell,Spec,6044.000,13,785720.00,open,35.75,99918808,10,
1/6/2017,00787622,CZCE,OI801,Buy,Spec,6224.000,13,809120.00,open,35.75,99918808,10,
1/6/2017,00798856,CZCE,OI801,Buy,Spec,6222.000,3,186660.00,open,8.25,99918808,10,
1/6/2017,00798861,CZCE,OI709,Sell,Spec,6042.000,3,181260.00,open,8.25,99918808,10,
1/6/2017,00799411,CZCE,OI709,Sell,Spec,6044.000,1,60440.00,open,2.75,99918808,10,
1/6/2017,00799412,CZCE,OI801,Buy,Spec,6224.000,1,62240.00,open,2.75,99918808,10,
1/6/2017,00800307,CZCE,OI709,Sell,Spec,6044.000,1,60440.00,open,2.75,99918808,10,
1/6/2017,00800308,CZCE,OI801,Buy,Spec,6224.000,1,62240.00,open,2.75,99918808,10,
1/6/2017,00803886,CZCE,OI709,Sell,Spec,6046.000,1,60460.00,open,2.75,99918808,10,
1/6/2017,00803887,CZCE,OI801,Buy,Spec,6226.000,1,62260.00,open,2.75,99918808,10,
1/6/2017,00805178,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00805179,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00805625,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00805625,CZCE,OI709,Sell,Spec,6042.000,3,181260.00,open,8.25,99918808,10,
1/6/2017,00805626,CZCE,OI801,Buy,Spec,6222.000,3,186660.00,open,8.25,99918808,10,
1/6/2017,00805628,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,3,186480.00,open,8.25,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,4,248640.00,open,11.00,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,1,62160.00,open,2.75,99918808,10,
1/6/2017,00814674,CZCE,OI709,Sell,Spec,6036.000,4,241440.00,open,11.00,99918808,10,
1/6/2017,00814676,CZCE,OI709,Sell,Spec,6036.000,1,60360.00,open,2.75,99918808,10,
1/6/2017,00814680,CZCE,OI709,Sell,Spec,6036.000,3,181080.00,open,8.25,99918808,10,
1/6/2017,00815032,CZCE,OI801,Buy,Spec,6218.000,5,310900.00,open,13.75,99918808,10,
